address,universal_access,elevators,heating_type,lat,lng,type
"3425 Avenue emile-Duploye , Montreal",NON,0,,-73.565381,45.527859,Building
"12550 Avenue Alexis-Carrel , Montreal",NON,0,electricite,-73.588528,45.644351,Building
"2355 Rue Mullins , Montreal",NON,0,electricite,-73.564461,45.478775,Building
"821 Avenue Ogilvy , Montreal",NON,0,electricite,-73.627036,45.526602,Building
"6110 Rue de Marseille , Montreal",NON,0,electricite,-73.539544,45.575986,Building
"7470 Rue De Normanville , Montreal",2,0,electricite,-73.616114,45.546092,Building
"550 Rue Vinet , Montreal",NON,0,electricite,-73.575754,45.484006,Building
"5005 Rue Du Quesne , Montreal",NON,0,electricite,-73.549493,45.578784,Building
"2060 Rue Dickson , Montreal",NON,0,,-73.532394,45.567181,Building
"4799 Boulevard Gouin O, Montreal",NON,0,,-73.713029,45.537134,Building
"7455 Boulevard Gouin O, Montreal",NON,0,,-73.734511,45.525292,Building
"2574 Rue Fleury E, Montreal",1,0,electricite,-73.646225,45.576559,Building
"10 Rue Chabanel O, Montreal",NON,0,electricite,-73.650888,45.544143,Building
"10827 Rue Lajeunesse , Montreal",NON,0,electricite,-73.670377,45.55608,Building
"1945 Rue Fleury E, Montreal",NON,0,electricite,-73.653032,45.569476,Building
"10905 Rue Berri , Montreal",1,0,electricite,-73.673045,45.555935,Building
"12137 Avenue du Bois-de-Boulogne , Montreal",NON,0,electricite,-73.697895,45.544186,Building
"6396 Rue Cabrini , Montreal",NON,0,electricite,-73.562445,45.581597,Building
"10555 Rue Lajeunesse , Montreal",NON,0,,-73.665534,45.554995,Building
"2350 Rue Sauve E, Montreal",NON,0,electricite,-73.642719,45.571327,Building
"2244 Rue Sauve E, Montreal",NON,0,,-73.643013,45.570317,Building
"1535 Boulevard Gouin E, Montreal",NON,0,,-73.663565,45.565008,Building
"12225 Rue Cousineau , Montreal",NON,0,electricite,-73.722576,45.527489,Building
"95 Boulevard Gouin O, Montreal",NON,0,,-73.677265,45.5507,Building
"12377 Rue Notre-Dame-des-Anges , Montreal",NON,0,electricite,-73.717178,45.535881,Building
"1655 Rue Dudemaine , Montreal",NON,0,electricite,-73.688458,45.539107,Building
"6333 Rue Saint-Jacques , Montreal",NON,0,,-73.619955,45.463144,Building
"1655 Avenue Papineau , Montreal",NON,0,,-73.554858,45.524067,Building
"969 Rue de Louvain E, Montreal",1,0,,-73.648575,45.555428,Building
"75 Rue Ontario E, Montreal",NON,0,electricite,-73.566941,45.51223,Building
"137 Boulevard de Maisonneuve E, Montreal",NON,0,electricite,-73.564838,45.512411,Building
"3250 Rue Sainte-Catherine E, Montreal",NON,0,electricite,-73.540314,45.539895,Building
"8650 Avenue Querbes , Montreal",1,0,electricite,-73.64441,45.534201,Building
"4020 Avenue du Parc-La Fontaine , Montreal",NON,0,,-73.571158,45.525426,Building
"3500 Avenue emile-Duploye , Montreal",NON,0,,-73.567202,45.528077,Building
"5855 Rue Turenne , Montreal",NON,0,electricite,-73.553935,45.577538,Building
